id,x,y,major_axis,minor_axis,angle_deg
47.0,40.0,550.0,148.74909600900645,68.0,68.31506901334889
48.0,252.0,503.0,147.9332762923118,68.0,101.62685237392094
49.0,292.0,663.0,143.04104909832947,68.0,99.51754749954901
50.0,363.0,39.0,144.68398539586886,68.0,-161.14612909944395
51.0,499.0,429.0,148.5025775141069,68.0,52.93152664083219
52.0,400.0,155.0,148.04329303836604,68.0,159.25533863997592
53.0,221.0,713.0,153.08798933937328,68.0,-172.5228458275503
54.0,599.0,223.0,146.3431724144972,68.0,117.65771385518387
55.0,240.0,714.0,146.13674541940725,68.0,52.87299151597774
56.0,985.0,619.0,147.02583993841375,68.0,104.5049576404703
57.0,324.0,691.0,147.41628982087363,68.0,-135.17192339145313
58.0,760.0,134.0,145.07275071770437,68.0,73.75168218005264
59.0,693.0,618.0,152.0226686112619,68.0,139.9989674491132
60.0,37.0,169.0,148.39287889970964,68.0,96.51714603250488
61.0,912.0,689.0,148.17252784998277,68.0,133.05076002986897
62.0,590.0,598.0,147.77223235458433,68.0,131.0737895111484
63.0,526.0,82.0,148.65601661758203,68.0,151.57153301679676
64.0,266.0,460.0,149.3416053646933,68.0,124.4631711362239
65.0,37.0,467.0,139.05059973299444,68.0,-175.79062357671503
66.0,125.0,689.0,145.94267434394385,68.0,175.15116322242642
67.0,597.0,670.0,145.40437636366437,68.0,100.94324826031024
68.0,228.0,816.0,137.91904038901902,68.0,-137.92640894104164
69.0,468.0,792.0,147.3316372625664,68.0,132.81854310849846
70.0,387.0,138.0,149.14224059847797,68.0,137.60851249295877
71.0,203.0,431.0,146.19307458646165,68.0,168.14475856172425
72.0,237.0,846.0,132.41135734731085,64.35300989385426,-175.86559881500202
73.0,169.0,754.0,148.40300109543674,68.0,123.5397421581916
74.0,586.0,718.0,148.25752574251027,68.0,134.57665587413453
75.0,209.0,36.0,148.93018687385043,68.0,172.14134862624346
76.0,432.0,155.0,148.88621110382252,68.0,-177.08005102681977
77.0,437.0,246.0,143.97956228258445,68.0,72.09231632392152
78.0,498.0,493.0,146.64005135090648,68.0,178.1246370039581
79.0,693.0,163.0,149.2419837616498,68.0,142.44738516463752
80.0,584.0,262.0,145.77091340228867,68.0,87.18399672741978
81.0,258.0,138.0,147.65806348760486,68.0,157.58699411721386
82.0,750.0,271.0,145.6536377247526,68.0,153.08546040462178
83.0,305.0,739.0,148.98616130661736,68.0,147.7354990732066
84.0,42.0,674.0,148.81747571677687,68.0,115.06407612334424
85.0,703.0,538.0,146.99281502506574,68.0,177.1460466200225
86.0,193.0,671.0,146.79185861994807,68.0,117.73594626345178
87.0,204.0,640.0,147.84685037230187,68.0,140.7809088085444
88.0,310.0,142.0,148.8143872311055,68.0,-171.5213387984142
89.0,322.0,142.0,148.4412157643459,68.0,-163.24505021084778
90.0,750.0,381.0,148.82049396297793,68.0,157.09399108885566
91.0,633.0,538.0,146.7224595152722,68.0,-152.9668417058609
92.0,324.0,406.0,150.04716114248075,68.0,73.88799560939002
93.0,476.0,153.0,147.76313464748387,68.0,-166.26661619130985
94.0,813.0,650.0,137.098345601064,68.0,122.98945519120593
95.0,559.0,384.0,152.3636116134067,68.0,49.91621539803238
96.0,171.0,449.0,145.4078903627092,68.0,139.0413629223235
97.0,83.0,778.0,147.32131808577944,68.0,174.86021996180355
98.0,632.0,88.0,142.7534290690929,68.0,66.839857991023
99.0,344.0,774.0,144.59819353311397,68.0,106.61143738531042
100.0,993.0,393.0,143.20918884930921,68.0,83.04289419879596
101.0,31.0,730.0,142.09135557148295,68.0,87.45351643098911
102.0,265.0,747.0,144.7743926750074,68.0,55.1727068699848
103.0,575.0,629.0,144.54588180070186,68.0,92.8069811690488
104.0,31.0,841.0,161.3486729671724,67.22861373632183,-179.74902997186388
105.0,105.0,666.0,146.43950259128135,68.0,-143.2626545616925
106.0,798.0,230.0,143.65520943599338,68.0,131.39445334442775
107.0,784.0,247.0,152.8417948319325,68.0,136.44886195586128
108.0,41.0,785.0,141.0863827126295,68.0,-153.23478622469295
109.0,638.0,519.0,149.73123522469234,68.0,67.99302462211796
110.0,571.0,31.0,143.89717778723124,68.0,136.43046697145488
111.0,994.0,580.0,134.25228271395392,68.0,79.17580664037234
112.0,76.0,667.0,153.63365531888147,68.0,-170.29547186467167
113.0,819.0,583.0,144.8859988953394,68.0,179.18914661116426
114.0,29.0,641.0,140.61634925898403,68.0,93.59179225486888
115.0,719.0,692.0,145.0441805628786,68.0,173.46246962755268
116.0,849.0,581.0,151.43192866275234,68.0,148.74078671488328
117.0,684.0,694.0,137.18061352638207,68.0,-163.45108829509275
118.0,204.0,158.0,135.6788423399561,68.0,-145.33262882927627
119.0,539.0,720.0,149.79400317912035,68.0,171.3022503089978
120.0,121.0,845.0,112.46733275219943,62.00806241908969,162.72020554465198
121.0,593.0,28.0,152.23034482693478,68.0,170.78992932125158
122.0,768.0,574.0,152.31992675224336,68.0,-171.8594060800272
123.0,786.0,576.0,151.4403637430821,68.0,-165.11720246166598
124.0,658.0,557.0,146.1933334130029,68.0,-169.5660996628932
125.0,399.0,106.0,147.36010619209313,68.0,102.3249157369459
126.0,110.0,442.0,144.46889186178566,68.0,90.13999055245401
127.0,102.0,404.0,145.418599322753,68.0,70.63561606271205
128.0,443.0,846.0,118.73341935332391,60.6601254350838,164.57670247956557
129.0,89.0,728.0,153.88144968703526,68.0,132.63543926788293
130.0,420.0,94.0,152.89347334067472,68.0,147.79089339664446
131.0,25.0,239.0,129.95724308948067,68.0,97.98197152987075
132.0,27.0,26.0,132.05781697249014,68.0,48.58477828275988
133.0,508.0,724.0,148.47728011624272,68.0,177.81907466686903
134.0,530.0,645.0,144.11541199250684,68.0,-168.53547848853052
135.0,271.0,22.0,155.05688307017834,68.0,-172.11438473671063
136.0,1007.0,846.0,80.0,28.0,174.62325104344765
137.0,1011.0,708.0,135.77577367705598,33.05978969388929,93.28835224772406
138.0,1010.0,720.0,128.58003250603113,33.12280495412848,90.30524785701918
139.0,1018.0,348.0,163.2,68.0,-135.89585598688325
